IU UITS	GOC Accounting Reporter	Accounting_Reporter	reports.grid.iu.edu	NULL	NULL
AGLT2	AGLT2	AGLT2	gate01.aglt2.org	9.67	US-AGLT2
AGLT2	AGLT2	AGLT2_CE_2	gate02.grid.umich.edu	0	US-AGLT2
AGLT2	AGLT2	AGLT2_SE	head01.aglt2.org	0	US-AGLT2
AGLT2	AGLT2	AGLT2_SL6	gate04.aglt2.org	9.67	US-AGLT2
AGLT2	AGLT2_TEST	AGLT2_TEST_CE	gate03.aglt2.org	0	NULL
AGLT2	AGLT2	AGLT2-squid	squid.aglt2.org	NULL	NULL
GEANT-AMS	Geant perfSONAR	AMS_GEANT LHCONE	ps01-nl.geant.nl	NULL	NULL
ANL ASC	ANLASC	ANL-ATLAS-GRIDFTP1	atlasgridftp.hep.anl.gov	0	NULL
ANL ASC	ANLASC	ANLASC Squid	squid.hep.anl.gov	NULL	NULL
ANL ASC	ANLASC	ANLASC_LOCALGROUPDISK	rucio01.hep.anl.gov	NULL	NULL
ANL ASC	ANLASC	ANLASC-ASCHEAD	aschead.hep.anl.gov	0	NULL
ANL ASC	ANLASC	ANLASC-ASCNFS	ascnfs.hep.anl.gov	NULL	NULL
ANL ASC	ANLASC	ANLASC-CE	atlasce.hep.anl.gov	NULL	NULL
ANL ASC	ANLASC	ANLASC-SE	atlasgridftp02.hep.anl.gov	0	NULL
ANL ASC	ANLASC	ANLASC-squid	squid.hep.anl.gov	NULL	NULL
ASGC	ASGC_OSG	ASGC_OSG	osgc01.grid.sinica.edu.tw	NULL	NULL
UAB Research Computing	Advanced Technology Lab	ATLab testing node	rocksvmfe.uabgrid.uab.edu	NULL	NULL
Baylor University Tier3	Baylor-Tier3	Baylor-Tier3-CE	kodiak-ce.baylor.edu	0	NULL
Baylor University Tier3	Baylor-Tier3	Baylor-Tier3-SE	kodiak-se.baylor.edu	0	NULL
Bellarmine University	BELLARMINE-ATLAS-T3	BELLARMINE-ATLAS-T3	tier3-atlas1.bellarmine.edu	0	NULL
PNNL_DC	PNNL_BelleII	Belle_CE_2	gridgk01.hep.pnnl.gov	NULL	NULL
Beocat	Beocat	Beocat_CE	beocat.cis.ksu.edu	NULL	NULL
Beocat	Beocat	Beocat_KSU_CE	osg-ce.beocat.cis.ksu.edu	NULL	NULL
Brookhaven ATLAS Tier1	BNL-ATLAS	BNL_ATLAS_1	gridgk01.racf.bnl.gov	10.05	BNL_ATLAS_1
Brookhaven ATLAS Tier1	BNL-ATLAS	BNL_ATLAS_2	gridgk02.racf.bnl.gov	10.05	BNL_ATLAS_1
Brookhaven ATLAS Tier1	BNL-ATLAS	BNL_ATLAS_3	gridgk03.racf.bnl.gov	10.05	BNL_ATLAS_1
Brookhaven ATLAS Tier1	BNL-ATLAS	BNL_ATLAS_4	gridgk04.racf.bnl.gov	10.05	BNL_ATLAS_1
Brookhaven ATLAS Tier1	BNL-ATLAS	BNL_ATLAS_5	gridgk05.racf.bnl.gov	10.05	BNL_ATLAS_1
Brookhaven ATLAS Tier1	BNL-ATLAS	BNL_ATLAS_6	gridgk06.racf.bnl.gov	10.05	BNL_ATLAS_1
Brookhaven ATLAS Tier1	BNL-ATLAS	BNL_ATLAS_7	gridgk07.racf.bnl.gov	10.05	BNL_ATLAS_1
Brookhaven ATLAS Tier1	BNL-ATLAS	BNL_ATLAS_8	gridgk08.racf.bnl.gov	10.05	BNL_ATLAS_1
Brookhaven ATLAS Tier1	BNL-ATLAS	BNL_ATLAS_SE	dcsrm.usatlas.bnl.gov	0	BNL_ATLAS_1
Brookhaven ATLAS Tier1	BNL-ATLAS	BNL_ATLAS_SE_AWS_East	aws01.racf.bnl.gov	0	NULL
Brookhaven ATLAS Tier1	BNL-ATLAS	BNL_ATLAS_SE_AWS_West	aws05.racf.bnl.gov	0	NULL
Brookhaven ATLAS Tier1	BNL-ATLAS-ITB	BNL_ITB_Test1	gridtest01.racf.bnl.gov	0	NULL
Brookhaven ATLAS Tier1	BNL_Test_2	BNL_Test_2_CE_1	gridtest02.racf.bnl.gov	0	NULL
Brookhaven ATLAS Tier1	BNL-ATLAS-ITB	BNL_Test_SE	grid16.racf.bnl.gov	0	NULL
Brookhaven ATLAS Tier1	BNL_ATLAS_1	BNL_TEST_UST3	grid37.racf.bnl.gov	0	NULL
Brookhaven ATLAS Tier1	BNL-ATLAS	BNL-LCG2	gridgk03.racf.bnl.gov	0	NULL
Brookhaven ATLAS Tier1	BNL-ATLAS-ITB	BNL-ps-testbed	ps-development.bnl.gov	NULL	NULL
MANLAN	MANLAN perfSONAR	BNL/ESnet perfSONAR	quark.es.net	NULL	NULL
SPRACE	SPRACE	BR-Sprace BW	perfsonar-bw.sprace.org.br	NULL	NULL
SPRACE	SPRACE	BR-Sprace LT	perfsonar-lt.sprace.org.br	NULL	NULL
Brandeis Tier 3	Brandeis-Atlas-T3	BRND-HEAD	brndt3head.hep.brandeis.edu	NULL	NULL
Brandeis Tier 3	Brandeis-Atlas-T3	BRND-NFS	brndt3nfs.hep.brandeis.edu	NULL	NULL
Brown-CMS	brown-cms	brown-cms	grid-0.hep.brown.edu	0	NULL
brown-cms-new	brown-cms-new	brown-cms-new	brux3.hep.brown.edu	0	NULL
brown-cms-new	brown-cms-new	brown-cms-new_se	srm.hep.brown.edu	0	NULL
Boston University ATLAS Tier2	BU_ATLAS_Tier2	BU_ATLAS_Tier2	net2.bu.edu	0	US-NET2
Caltech CMS Tier2	CIT_CMS_T2	Caltech PerfSonar Bandwidth	perfsonar.ultralight.org	NULL	NULL
Caltech CMS Tier2	CIT_CMS_T2	Caltech PerfSonar Latency	perfsonar2.ultralight.org	NULL	NULL
CHTC	CHTC	CHTC and BATLAB OSG Mirror	mirror.batlab.org	NULL	NULL
CHTC	CHTC	CHTC-glidein	glidein.chtc.wisc.edu	NULL	NULL
CHTC	CHTC	CHTC-glidein2	glidein2.chtc.wisc.edu	NULL	NULL
CHTC	CHTC	CHTC-submit-1	submit-1.chtc.wisc.edu	NULL	NULL
CHTC	CHTC	CHTC-submit-3	submit-3.chtc.wisc.edu	NULL	NULL
CHTC	CHTC	CHTC-submit-4	submit-4.chtc.wisc.edu	NULL	NULL
CHTC	CHTC	CHTC-submit-5	submit-5.chtc.wisc.edu	NULL	NULL
NCSA	CIGI-ITB	CIGI-ITB	everest.cigi.uiuc.edu	NULL	NULL
CIGI	CIGI-OSG	CIGI-VOMS	voms.cigi.uiuc.edu	NULL	NULL
cinvestav	cinvestav	cinvestav	proton.fis.cinvestav.mx	0	NULL
cinvestav	cinvestav	cinvestav-SE	meson.fis.cinvestav.mx	0	NULL
Caltech CMS Tier2	CIT_CMS_T2	CIT_CMS_perfSONAR	perfsonar2.ultralight.org	NULL	NULL
Caltech CMS Tier2	CIT_CMS_T2	CIT_CMS_SE	cit-se.ultralight.org	0	T2_US_Caltech
Caltech CMS Tier2	CIT_CMS_T2	CIT_CMS_SE2	cit-se2.ultralight.org	0	NULL
Caltech CMS Tier2	CIT_CMS_T2	CIT_CMS_T2	cit-gatekeeper.ultralight.org	12.944	T2_US_Caltech
Caltech CMS Tier2	CIT_CMS_T2	CIT_CMS_T2_Squid	cithep251.ultralight.org	NULL	NULL
Caltech CMS Tier2	CIT_CMS_T2	CIT_CMS_T2B	cit-gatekeeper2.ultralight.org	0	T2_US_Caltech
Caltech CMS Tier2	CIT_CMS_T2	CIT_HEP_CE	xeon.hep.caltech.edu	0	NULL
Caltech HEP	CIT_HEP	CIT_HEP_SE	osg-se.hep.caltech.edu	NULL	NULL
Caltech CMS Tier2	CIT_ITB_1	CIT_ITB_1	ce-itb.ultralight.org	0	NULL
Caltech CMS Tier2	CIT_CMS_Cloud	CIT_ITB2	samir-test-ce.cern.ch	NULL	NULL
ClemsonCS	Clemson-Birdnest	Clemson-Birdnest	birdnest.cs.clemson.edu	NULL	NULL
ClemsonCS	Clemson-ciTeam	Clemson-ciTeam	osgce.cs.clemson.edu	NULL	NULL
Clemson IT	Clemson-IT	Clemson-IT	osggate.clemson.edu	NULL	NULL
Clemson IT	Clemson-Palmetto	Clemson-Palmetto	osg-ce.clemson.edu	0	NULL
CAS-CNIC	CNIC-CIGI-OSG	CNIC-OSG	osg.cnic.cn	NULL	NULL
CAS-CNIC	CNIC-CIGI-OSG	CNIC-OSG-SE	se.osg.cnic.cn	NULL	NULL
ILS	cns	cns1	cns1.cns.iu.edu	NULL	NULL
ILS	cns	cns2	cns2.cns.iu.edu	NULL	NULL
OSG GOC	Condor_Collectors	collector-itb	collector-itb.opensciencegrid.org	NULL	NULL
